รหัสเขต,ชื่อเขต,รหัสโรงเรียน,ชื่อโรงเรียน,ประเภท,อ.1 ชาย,อ.1 หญิง,รวมอ.1,อ.2 ชาย,อ.2 หญิง,รวมอ.2,อ.3 ชาย,อ.3 หญิง,รวมอ.3,รวมอนุบาล ชาย,รวมอนุบาล หญิง,รวมอนุบาล,ป.1 ชาย,ป.1 หญิง,รวมป.1,ป.2 ชาย,ป.2 หญิง,รวมป.2,ป.3 ชาย,ป.3 หญิง,รวมป.3,ป.4 ชาย,ป.4 หญิง,รวมป.4,ป.5 ชาย,ป.5 หญิง,รวมป.5,ป.6 ชาย,ป.6 หญิง,รวมป.6,รวมประถม ชาย,รวมประถม หญิง,รวมประถม,ม.1 ชาย,ม.1 หญิง,รวมม.1,ม.2 ชาย,ม.2 หญิง,รวมม.2,ม.3 ชาย,ม.3 หญิง,รวมม.3,รวมม.ต้น ชาย,รวมม.ต้น หญิง,รวมม.ต้น,ม.4 ชาย,ม.4 หญิง,รวมม.4,ม.5 ชาย,ม.5 หญิง,รวมม.5,ม.6 ชาย,ม.6 หญิง,รวมม.6,ปวช.1 ชาย,ปวช.1 หญิง,รวมปวช.1,ปวช.2 ชาย,ปวช.2 หญิง,รวมปวช.2,ปวช.3 ชาย,ปวช.3 หญิง,รวมปวช.3,รวมม.ปลายและเทียบเท่า ชาย,รวมม.ปลายและเทียบเท่า หญิง,รวมม.ปลายและเทียบเท่า,รวมทั้งหมด ชาย,รวมทั้งหมด หญิง,รวมทั้งหมด
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,นักเรียนขาดแคลนทั้งหมด,0,0,0,2,4,6,23,18,41,25,22,47,23,26,49,15,25,40,17,15,32,21,17,38,18,22,40,18,21,39,112,126,238,13,14,27,20,17,37,9,19,28,42,50,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,198,377
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,เครื่องแบบนักเรียน,0,0,0,2,1,3,19,17,36,21,18,39,23,26,49,15,24,39,15,14,29,21,16,37,18,22,40,17,21,38,109,123,232,13,14,27,20,17,37,9,19,28,42,50,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,191,363
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,เครื่องเขียน,0,0,0,2,4,6,21,17,38,23,21,44,23,26,49,15,25,40,15,14,29,21,17,38,18,22,40,18,21,39,110,125,235,13,14,27,20,17,37,9,19,28,42,50,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,196,371
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,แบบเรียน(หนังสือยืมเรียน),0,0,0,2,1,3,22,18,40,24,19,43,23,26,49,15,25,40,17,15,32,21,17,38,18,22,40,18,21,39,112,126,238,13,14,27,20,17,37,9,19,28,42,50,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,195,373
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,อาหารกลางวัน,0,0,0,2,4,6,1,0,1,3,4,7,11,13,24,1,0,1,6,2,8,8,8,16,16,22,38,0,1,1,42,46,88,5,1,6,3,0,3,9,19,28,17,20,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,70,132
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,ขาดแคลน 3 รายการหรือมากกว่า,0,0,0,2,1,3,18,16,34,20,17,37,23,26,49,15,24,39,15,14,29,21,17,38,18,22,40,17,21,38,109,124,233,13,14,27,20,17,37,9,19,28,42,50,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,191,362
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,อายุนอกเกณฑ์,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
