รหัสเขต,ชื่อเขต,รหัสโรงเรียน,ชื่อโรงเรียน,ประเภท,ม.3 ชาย,ม.3 หญิง,รวมม.3
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,นักเรียนจบทั้งหมด,15,28,43
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,ศึกษาต่อ ม.4 โรงเรียนเดิม,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,ศึกษาต่อ ม.4 โรงศึกษาอื่น ในจังหวัดเดิม,15,28,43
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,ศึกษาต่อ ม.4 โรงศึกษาอื่น ในต่างจังหวัด,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,ศึกษาต่อ ม.4 โรงศึกษาอื่น ใน กทม.,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,สถาบันอาชีวศึกษาของรัฐบาล,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,สถาบันอาชีวศึกษาของเอกชน,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,ศึกษาต่อสถาบันอื่น ๆ,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,ไม่ศึกษาต่อ ทำงานภาคอุตสาหกรรม,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,ไม่ศึกษาต่อ ทำงานภาคการเกษตร,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,ไม่ศึกษาต่อ ทำงานการประมง,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,ไม่ศึกษาต่อ ทำงานค้าขาย ธุรกิจ,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,ไม่ศึกษาต่อ ทำงานบริการ,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,ไม่ศึกษาต่อ ทำงานรับจ้างทั่วไป,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,ไม่ศึกษาต่อ ทำงานอื่น ๆ,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,บวชในศาสนา,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,ไม่ประกอบอาชีพและไม่ศึกษาต่อ,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,อื่น ๆ,0,0,0
