รหัสเขต,ชื่อเขต,รหัสโรงเรียน,ชื่อโรงเรียน,ประเภท,อ.1 ชาย,อ.1 หญิง,รวมอ.1,อ.2 ชาย,อ.2 หญิง,รวมอ.2,อ.3 ชาย,อ.3 หญิง,รวมอ.3,รวมอนุบาล ชาย,รวมอนุบาล หญิง,รวมอนุบาล,ป.1 ชาย,ป.1 หญิง,รวมป.1,ป.2 ชาย,ป.2 หญิง,รวมป.2,ป.3 ชาย,ป.3 หญิง,รวมป.3,ป.4 ชาย,ป.4 หญิง,รวมป.4,ป.5 ชาย,ป.5 หญิง,รวมป.5,ป.6 ชาย,ป.6 หญิง,รวมป.6,รวมประถม ชาย,รวมประถม หญิง,รวมประถม,ม.1 ชาย,ม.1 หญิง,รวมม.1,ม.2 ชาย,ม.2 หญิง,รวมม.2,ม.3 ชาย,ม.3 หญิง,รวมม.3,รวมม.ต้น ชาย,รวมม.ต้น หญิง,รวมม.ต้น,ม.4 ชาย,ม.4 หญิง,รวมม.4,ม.5 ชาย,ม.5 หญิง,รวมม.5,ม.6 ชาย,ม.6 หญิง,รวมม.6,ปวช.1 ชาย,ปวช.1 หญิง,รวมปวช.1,ปวช.2 ชาย,ปวช.2 หญิง,รวมปวช.2,ปวช.3 ชาย,ปวช.3 หญิง,รวมปวช.3,รวมม.ปลายและเทียบเท่า ชาย,รวมม.ปลายและเทียบเท่า หญิง,รวมม.ปลายและเทียบเท่า,รวมทั้งหมด ชาย,รวมทั้งหมด หญิง,รวมทั้งหมด
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,นักเรียนทั้งหมด,0,0,0,26,23,49,31,28,59,57,51,108,36,36,72,21,36,57,24,24,48,28,28,56,23,23,46,24,29,53,156,176,332,18,19,37,24,18,42,15,28,43,57,65,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,292,562
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,พุทธ,0,0,0,12,12,24,17,16,33,29,28,57,14,15,29,12,22,34,19,19,38,17,14,31,14,12,26,22,24,46,98,106,204,14,8,22,18,7,25,11,21,32,43,36,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,170,340
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,อิสลาม,0,0,0,2,0,2,3,3,6,5,3,8,7,3,10,0,2,2,2,3,5,0,1,1,0,0,0,0,0,0,9,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,26
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,คริสต์,0,0,0,12,11,23,11,9,20,23,20,43,14,18,32,9,12,21,3,2,5,11,13,24,9,11,20,2,3,5,48,59,107,4,11,15,6,11,17,4,7,11,14,29,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,108,193
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,ซิกส์,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,พราหมณ์/ฮินดู,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,อื่นๆ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,ข้อมูลผิดปกติ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,อายุนอกเกณฑ์,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
