"รหัสเขตพื้นที่การศึกษา","ชื่อเขตพื้นที่การศึกษา","moecode","smiscode","ชื่อโรงเรียน","ประเภท","อ.1 ชาย","อ.1 หญิง","อ.1","อ.2 ชาย","อ.2 หญิง","อ.2","อ.3 ชาย","อ.3 หญิง","อ.3","รวมอนุบาลชาย","รวมอนุบาลหญิง","รวมอนุบาล","ป.1 ชาย","ป.1 หญิง","ป.1","ป.2 ชาย","ป.2 หญิง","ป.2","ป.3 ชาย","ป.3 หญิง","ป.3","ป.4 ชาย","ป.4 หญิง","ป.4","ป.5 ชาย","ป.5 หญิง","ป.5","ป.6 ชาย","ป.6 หญิง","ป.6","รวมประถมชาย","รวมประถมหญิง","รวมประถม","ม.1 ชาย","ม.1 หญิง","ม.1","ม.2 ชาย","ม.2 หญิง","ม.2","ม.3 ชาย","ม.3 หญิง","ม.3","รวมม.ต้น ชาย","รวมม.ต้น หญิง","รวมม.ต้น","ม.4 ชาย","ม.4 หญิง","ม.4","ม.5 ชาย","ม.5 หญิง","ม.5","ม.6 ชาย","ม.6 หญิง","ม.6","ปวช.1 ชาย","ปวช.1 หญิง","ปวช.1","ปวช.2 ชาย","ปวช.2 หญิง","ปวช.2","ปวช.3 ชาย","ปวช.3 หญิง","ปวช.3","รวมม.ปลายและเทียบเท่า ชาย","รวมม.ปลายและเทียบเท่า หญิง","รวมม.ปลายและเทียบเท่า","รวม นร. ชาย","รวม นร. หญิง","รวม"
57030000,สพป.เชียงราย เขต 3,1057120596,57030129,บ้านพญาไพร,นักเรียนทั้งหมด,0,0,0,26,23,49,31,28,59,57,51,108,36,36,72,21,36,57,24,24,48,28,28,56,23,23,46,24,29,53,156,176,332,18,19,37,24,18,42,15,28,43,57,65,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,292,562
57030000,สพป.เชียงราย เขต 3,1057120596,57030129,บ้านพญาไพร,ผอม,0,0,0,8,3,11,2,8,10,10,11,21,3,5,8,2,1,3,0,3,3,1,3,4,1,0,1,0,0,0,7,12,19,0,0,0,0,1,1,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,24,42
57030000,สพป.เชียงราย เขต 3,1057120596,57030129,บ้านพญาไพร,ค่อนข้างผอม,0,0,0,1,4,5,8,2,10,9,6,15,7,4,11,0,2,2,0,2,2,4,2,6,0,3,3,1,3,4,12,16,28,2,0,2,0,2,2,1,0,1,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,48
57030000,สพป.เชียงราย เขต 3,1057120596,57030129,บ้านพญาไพร,สมส่วน,0,0,0,17,14,31,21,18,39,38,32,70,26,27,53,17,27,44,19,15,34,21,18,39,19,19,38,19,23,42,121,129,250,12,15,27,17,10,27,10,20,30,39,45,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,206,404
57030000,สพป.เชียงราย เขต 3,1057120596,57030129,บ้านพญาไพร,ท้วม,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,2,3,0,2,2,0,1,1,1,0,1,0,1,1,2,6,8,3,1,4,1,2,3,1,3,4,5,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,20
57030000,สพป.เชียงราย เขต 3,1057120596,57030129,บ้านพญาไพร,เริ่มอ้วน,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,3,3,3,1,4,1,1,2,2,1,3,1,2,3,7,8,15,1,3,4,5,3,8,0,2,2,6,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17,30
57030000,สพป.เชียงราย เขต 3,1057120596,57030129,บ้านพญาไพร,อ้วน,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,3,1,3,4,0,0,0,3,0,3,7,5,12,0,0,0,1,0,1,2,2,4,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,17
57030000,สพป.เชียงราย เขต 3,1057120596,57030129,บ้านพญาไพร,ค่านอกเกณฑ์,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57030000,สพป.เชียงราย เขต 3,1057120596,57030129,บ้านพญาไพร,อายุนอกเกณฑ์,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
