รหัสเขต,ชื่อเขต,รหัสโรงเรียน,ชื่อโรงเรียน,ประเภท,อ.3 ชาย,อ.3 หญิง,รวมอ.3,ป.3 ชาย,ป.3 หญิง,รวมป.3,ป.6 ชาย,ป.6 หญิง,รวมป.6,ม.3 ชาย,ม.3 หญิง,รวมม.3,ม.6 ชาย,ม.6 หญิง,รวมม.6,ปวช.3 ชาย,ปวช.3 หญิง,รวมปวช.3
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,นักเรียนจบทั้งหมด,31,28,59,24,24,48,24,29,53,15,28,43,0,0,0,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,เรียนจบภายในเวลา 1 ปี,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,2 ปี,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,มากกว่า 2 ปี,31,28,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,เรียนจบภายในเวลา 3 ปี,0,0,0,24,24,48,24,29,53,15,28,43,0,0,0,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,4 ปี,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,5 ปี,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,มากกว่า 5 ปี,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
