"รหัสเขตพื้นที่การศึกษา","ชื่อเขตพื้นที่การศึกษา","moecode","smiscode","ชื่อโรงเรียน","ประเภท","อ.1 ชาย","อ.1 หญิง","อ.1","อ.2 ชาย","อ.2 หญิง","อ.2","อ.3 ชาย","อ.3 หญิง","อ.3","รวมอนุบาลชาย","รวมอนุบาลหญิง","รวมอนุบาล","ป.1 ชาย","ป.1 หญิง","ป.1","ป.2 ชาย","ป.2 หญิง","ป.2","ป.3 ชาย","ป.3 หญิง","ป.3","ป.4 ชาย","ป.4 หญิง","ป.4","ป.5 ชาย","ป.5 หญิง","ป.5","ป.6 ชาย","ป.6 หญิง","ป.6","รวมประถมชาย","รวมประถมหญิง","รวมประถม","ม.1 ชาย","ม.1 หญิง","ม.1","ม.2 ชาย","ม.2 หญิง","ม.2","ม.3 ชาย","ม.3 หญิง","ม.3","รวมม.ต้น ชาย","รวมม.ต้น หญิง","รวมม.ต้น","ม.4 ชาย","ม.4 หญิง","ม.4","ม.5 ชาย","ม.5 หญิง","ม.5","ม.6 ชาย","ม.6 หญิง","ม.6","ปวช.1 ชาย","ปวช.1 หญิง","ปวช.1","ปวช.2 ชาย","ปวช.2 หญิง","ปวช.2","ปวช.3 ชาย","ปวช.3 หญิง","ปวช.3","รวมม.ปลายและเทียบเท่า ชาย","รวมม.ปลายและเทียบเท่า หญิง","รวมม.ปลายและเทียบเท่า","รวม นร. ชาย","รวม นร. หญิง","รวม"
57030000,สพป.เชียงราย เขต 3,1057120596,57030129,บ้านพญาไพร,นักเรียนทั้งหมด,0,0,0,26,24,50,31,28,59,57,52,109,36,36,72,21,36,57,24,24,48,28,28,56,23,23,46,24,29,53,156,176,332,18,19,37,24,18,42,15,28,43,57,65,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,293,563
57030000,สพป.เชียงราย เขต 3,1057120596,57030129,บ้านพญาไพร,เตี้ย,0,0,0,8,2,10,3,7,10,11,9,20,2,7,9,10,4,14,1,5,6,9,1,10,1,2,3,1,4,5,24,23,47,2,1,3,2,1,3,1,0,1,5,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,34,74
57030000,สพป.เชียงราย เขต 3,1057120596,57030129,บ้านพญาไพร,ค่อนข้างเตี้ย,0,0,0,2,1,3,3,0,3,5,1,6,3,4,7,3,2,5,3,2,5,4,2,6,1,2,3,4,2,6,18,14,32,1,0,1,3,2,5,0,1,1,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,18,45
57030000,สพป.เชียงราย เขต 3,1057120596,57030129,บ้านพญาไพร,สูงตามเกณฑ์,0,0,0,15,12,27,19,19,38,34,31,65,24,21,45,7,21,28,15,17,32,13,25,38,20,19,39,18,22,40,97,125,222,15,18,33,19,15,34,11,25,36,45,58,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,214,390
57030000,สพป.เชียงราย เขต 3,1057120596,57030129,บ้านพญาไพร,ค่อนข้างสูง,0,0,0,0,2,2,3,2,5,3,4,7,1,2,3,0,5,5,1,0,1,1,0,1,1,0,1,0,1,1,4,8,12,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,21
57030000,สพป.เชียงราย เขต 3,1057120596,57030129,บ้านพญาไพร,สูง,0,0,0,1,7,8,3,0,3,4,7,11,6,2,8,1,4,5,4,0,4,1,0,1,0,0,0,1,0,1,13,6,19,0,0,0,0,0,0,1,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14,32
57030000,สพป.เชียงราย เขต 3,1057120596,57030129,บ้านพญาไพร,ส่วนสูงนอกเกณฑ์,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57030000,สพป.เชียงราย เขต 3,1057120596,57030129,บ้านพญาไพร,อายุนอกเกณฑ์,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
